Epochs,N_modes,Loss
1192,3,2.0927675068378401e-03
1193,3,2.0930022001266501e-03
1194,3,2.0932334009558001e-03
1195,3,2.0934625063091499e-03
1196,3,2.0936934743076602e-03
1197,3,2.0939314272254701e-03
1198,3,2.0941789261996698e-03
1199,3,2.0944336429238302e-03
1200,3,2.0946885924786299e-03
1201,3,2.0949381869286299e-03
1202,3,2.09518219344318e-03
1203,3,2.0954252686351499e-03
1204,3,2.0956711377948501e-03
1205,3,2.0959207322448501e-03
1206,3,2.0961717236787098e-03
1207,3,2.0964210852980601e-03
1208,3,2.0966697484254798e-03
1209,3,2.0969188772141899e-03
1210,3,2.0971707999706299e-03
1211,3,2.0974241197109201e-03
1212,3,2.0976781379431499e-03
1213,3,2.0979323890060199e-03
1214,3,2.0981875713914598e-03
1215,3,2.09844438359141e-03
1216,3,2.0987023599445798e-03
1217,3,2.0989612676203299e-03
1218,3,2.0992211066186402e-03
1219,3,2.0994823426008198e-03
1220,3,2.0997456740587902e-03
1221,3,2.1000108681619202e-03
1222,3,2.1002774592489e-03
1223,3,2.1005452144891002e-03
1224,3,2.1008143667131701e-03
1225,3,2.10108514875174e-03
1226,3,2.1013575606048098e-03
1227,3,2.1016318351030302e-03
1228,3,2.1019082050770499e-03
1229,3,2.10218667052686e-03
1230,3,2.1024667657911799e-03
1231,3,2.10274872370064e-03
1232,3,2.1030320785939702e-03
1233,3,2.1033170633017999e-03
1234,3,2.10360367782414e-03
1235,3,2.1038909908384102e-03
1236,3,2.10417783819139e-03
1237,3,2.1044644527137301e-03
1238,3,2.1047510672360702e-03
1239,3,2.1050381474196898e-03
1240,3,2.1053284872323301e-03
1241,3,2.1056248806417001e-03
1242,3,2.10592965595424e-03
1243,3,2.10624258033931e-03
1244,3,2.10655736736953e-03
1245,3,2.10686982609332e-03
1246,3,2.10717879235744e-03
1247,3,2.1074868272990001e-03
1248,3,2.1077983547002099e-03
1249,3,2.1081140730530002e-03
1250,3,2.1084323525428798e-03
1251,3,2.1087499335408202e-03
1252,3,2.1090679802000501e-03
1253,3,2.10938835516572e-03
1254,3,2.1097112912684701e-03
1255,3,2.1100353915244302e-03
1256,3,2.1103594917803998e-03
1257,3,2.1106849890202301e-03
1258,3,2.1110125817358498e-03
1259,3,2.1113422699272598e-03
1260,3,2.1116719581186802e-03
1261,3,2.1120000164955902e-03
1262,3,2.1123278420418501e-03
1263,3,2.1126598585397001e-03
1264,3,2.11299699731171e-03
1265,3,2.1133357658982299e-03
1266,3,2.1136738359928101e-03
1267,3,2.1140128374099701e-03
1268,3,2.1143541671335702e-03
