,epochs,Decay,Modes,Loss,Modes_truncated,Loss_truncated,epochs_truncated
183,183.0,0.009895246109681389,1.0,0.000870994503970392,2.0,0.0019921740589556873,777.0
184,184.0,0.009759981300728257,1.0,0.0008797770732676993,2.0,0.001992733356973661,778.0
185,185.0,0.009627220853833919,1.0,0.0008885259701733733,2.0,0.0019932949808261174,779.0
186,186.0,0.00949660578352039,1.0,0.0008972404938214016,2.0,0.00199385903627865,780.0
187,187.0,0.009368080917962575,1.0,0.0009059202069721484,2.0,0.001994425835086899,781.0
188,188.0,0.009241888028375583,1.0,0.0009145644193878987,2.0,0.0019949955144267146,782.0
189,189.0,0.009117702864768196,1.0,0.0009231724532523072,2.0,0.0019955679226669014,783.0
190,190.0,0.008995560553942093,1.0,0.000931743917954655,2.0,0.00199614279995158,784.0
191,191.0,0.008875548091417813,1.0,0.0009402781886166523,2.0,0.001996720065794128,785.0
192,192.0,0.008757408551498404,1.0,0.0009487747335923183,2.0,0.0019972999274995825,786.0
193,193.0,0.008641244409380671,1.0,0.0009572331659799563,2.0,0.0019978827700344245,787.0
194,194.0,0.00852701953065308,1.0,0.0009656529154866527,2.0,0.0019984684635089484,788.0
195,195.0,0.00841457871385424,1.0,0.0009740335679772446,2.0,0.0019990564960056926,789.0
196,196.0,0.008304000114544265,1.0,0.0009823747338771668,2.0,0.001999646730714645,790.0
197,197.0,0.008195163853721174,1.0,0.0009906759289314796,2.0,0.002000239431818548,791.0
198,198.0,0.008088047801182453,1.0,0.0009989368011005218,2.0,0.0020008348320446332,792.0
199,199.0,0.007983041557902413,1.0,0.0010071569345352512,2.0,0.0020014327223180405,793.0
200,200.0,0.007879274393377692,1.0,0.0010153359440751271,2.0,0.002002032616068096,794.0
201,201.0,0.007777225241583066,1.0,0.001023473895915781,2.0,0.0020026342415144288,795.0
202,202.0,0.007677129543267091,1.0,0.0010315700233810721,2.0,0.0020032374867714254,796.0
203,203.0,0.007578240442754781,1.0,0.0010396240949698005,2.0,0.0020038424267547162,797.0
204,204.0,0.007481158347342062,1.0,0.001047636178725638,2.0,0.002004449777512809,798.0
205,205.0,0.007385674384847683,1.0,0.0010556056147356884,2.0,0.002005060830134324,799.0
206,206.0,0.007291484763883406,1.0,0.0010635324183283017,2.0,0.0020056752237793602,800.0
207,207.0,0.0071990498472315635,1.0,0.001071416436864681,2.0,0.002006290142622483,801.0
208,208.0,0.007107947897558931,1.0,0.0010792572390346336,2.0,0.0020069043057774,802.0
209,209.0,0.0070182886079969975,1.0,0.0010870549336926979,2.0,0.0020075196628344355,803.0
210,210.0,0.006930169659454664,1.0,0.0010948092220620259,2.0,0.002008137933277297,804.0
211,211.0,0.006843297799040098,1.0,0.0011025199672707827,2.0,0.002008757970051013,805.0
212,212.0,0.006757909592476806,1.0,0.0011101871852576381,2.0,0.0020093779727413425,806.0
213,213.0,0.006673846035854288,1.0,0.0011178106114669338,2.0,0.0020099978398411015,807.0
214,214.0,0.0065910494673516035,1.0,0.0011253902858980114,2.0,0.0020106180478157137,808.0
215,215.0,0.006509643843519302,1.0,0.0011329261138741736,2.0,0.0020112388329547397,809.0
216,216.0,0.006429439679208584,1.0,0.0011404179755490234,2.0,0.002011861520675814,810.0
217,217.0,0.006350502399792144,1.0,0.0011478659321750937,2.0,0.0020124868393068445,811.0
218,218.0,0.006272820599047891,1.0,0.0011552698685269134,2.0,0.0020131118339166624,812.0
219,219.0,0.006196291750251195,1.0,0.0011626297821740403,2.0,0.002013734005891269,813.0
220,220.0,0.006120966815531809,1.0,0.0011699456959279764,2.0,0.00201435583627072,814.0
221,221.0,0.006046802118978518,1.0,0.0011772175500567705,2.0,0.0020149799683250734,815.0
222,222.0,0.005973729644113562,1.0,0.0011844453802697706,2.0,0.0020156037694408946,816.0
223,223.0,0.005901800432798488,1.0,0.0011916292066934207,2.0,0.002016224686215992,817.0
224,224.0,0.005830938417759093,1.0,0.0011987690030167114,2.0,0.00201684467154641,818.0
225,225.0,0.005761136585367233,1.0,0.0012058648375371627,2.0,0.002017465191701233,819.0
226,226.0,0.00569239027372094,1.0,0.001212916720693189,2.0,0.002018084807769722,820.0
